,0
777,0.20000000298023224
778,2.600000038743019
779,0.10000000149011612
780,2.600000038743019
781,2.7000000402331352
782,2.600000038743019
783,2.600000038743019
784,2.7000000402331352
785,2.600000038743019
786,2.7000000402331352
787,2.600000038743019
788,2.600000038743019
789,0.10000000149011612
790,2.600000038743019
791,0.10000000149011612
792,2.600000038743019
793,2.7000000402331352
794,2.600000038743019
795,2.600000038743019
796,0.30000000447034836
797,2.600000038743019
798,0.10000000149011612
799,2.600000038743019
800,2.7000000402331352
801,2.600000038743019
802,2.600000038743019
803,2.600000038743019
804,0.6000000089406967
805,2.600000038743019
806,2.600000038743019
807,2.7000000402331352
808,2.600000038743019
809,2.7000000402331352
810,0.0
811,1.2000000178813934
812,2.600000038743019
813,2.7000000402331352
814,1.1000000163912773
815,2.600000038743019
816,0.20000000298023224
817,2.600000038743019
818,2.600000038743019
819,2.7000000402331352
820,0.30000000447034836
821,2.2000000327825546
822,2.600000038743019
823,2.600000038743019
824,2.7000000402331352
825,2.7000000402331352
826,2.600000038743019
827,2.7000000402331352
828,2.600000038743019
829,2.7000000402331352
830,2.600000038743019
831,2.7000000402331352
832,2.600000038743019
833,2.7000000402331352
834,2.600000038743019
835,2.3000000342726707
836,2.600000038743019
837,2.7000000402331352
838,2.600000038743019
839,2.7000000402331352
840,2.600000038743019
841,2.7000000402331352
842,2.600000038743019
843,2.7000000402331352
844,2.600000038743019
845,2.7000000402331352
846,2.600000038743019
847,2.7000000402331352
848,2.600000038743019
849,2.7000000402331352
850,2.600000038743019
851,2.7000000402331352
852,2.600000038743019
853,2.7000000402331352
854,2.600000038743019
855,2.7000000402331352
856,2.600000038743019
857,2.7000000402331352
858,2.600000038743019
859,2.7000000402331352
860,2.600000038743019
861,2.7000000402331352
862,2.600000038743019
863,0.09000000171363354
864,2.600000038743019
865,0.20000000298023224
866,2.600000038743019
867,2.600000038743019
868,2.7000000402331352
869,2.7000000402331352
870,2.600000038743019
871,2.7000000402331352
872,2.600000038743019
873,2.7000000402331352
874,2.600000038743019
875,2.7000000402331352
876,2.600000038743019
877,2.7000000402331352
878,2.600000038743019
879,2.7000000402331352
880,2.600000038743019
881,2.7000000402331352
882,2.600000038743019
883,2.7000000402331352
884,2.600000038743019
885,2.7000000402331352
886,2.600000038743019
887,2.7000000402331352
888,2.600000038743019
889,2.7000000402331352
890,0.0
891,1.1000000163912773
892,2.600000038743019
893,2.7000000402331352
894,2.600000038743019
895,2.7000000402331352
896,2.600000038743019
897,2.7000000402331352
898,2.600000038743019
899,2.600000038743019
900,2.7000000402331352
901,0.10000000149011612
902,2.600000038743019
903,0.0
904,2.600000038743019
905,2.7000000402331352
906,0.9000000134110451
907,2.600000038743019
908,2.7000000402331352
909,2.600000038743019
910,2.7000000402331352
911,2.600000038743019
912,2.7000000402331352
913,2.600000038743019
914,2.7000000402331352
915,2.600000038743019
916,0.30000000447034836
917,2.600000038743019
918,0.0
919,2.600000038743019
920,2.7000000402331352
921,2.600000038743019
922,2.7000000402331352
923,0.6000000089406967
924,2.600000038743019
925,0.10000000149011612
926,2.600000038743019
927,2.7000000402331352
928,2.600000038743019
929,2.7000000402331352
930,2.600000038743019
931,2.7000000402331352
932,2.600000038743019
933,2.7000000402331352
934,2.600000038743019
935,2.600000038743019
936,0.0
937,2.600000038743019
938,2.600000038743019
939,2.7000000402331352
940,2.600000038743019
941,0.10000000149011612
942,0.10000000149011612
943,2.600000038743019
944,2.7000000402331352
945,2.600000038743019
946,2.600000038743019
947,0.10000000149011612
948,2.600000038743019
949,2.7000000402331352
950,2.600000038743019
951,0.10000000149011612
952,0.10000000149011612
953,2.600000038743019
954,2.7000000402331352
955,2.600000038743019
956,2.7000000402331352
957,2.600000038743019
958,2.7000000402331352
959,2.600000038743019
960,2.600000038743019
961,0.19000000320374966
962,2.500000037252903
963,2.600000038743019
964,2.600000038743019
965,0.19000000320374966
966,2.600000038743019
967,2.600000038743019
968,2.7000000402331352
969,2.600000038743019
970,0.10000000149011612
971,0.10000000149011612
972,2.600000038743019
973,2.600000038743019
974,2.600000038743019
975,1.290000019595027
976,2.600000038743019
977,1.4000000208616257
978,2.2000000327825546
979,2.600000038743019
980,2.600000038743019
981,2.600000038743019
982,0.10000000149011612
983,2.600000038743019
984,2.600000038743019
985,0.10000000149011612
986,0.10000000149011612
987,2.600000038743019
988,1.2000000178813934
989,2.600000038743019
990,0.10000000149011612
991,2.600000038743019
992,1.8000000268220901
993,2.600000038743019
994,2.600000038743019
995,2.7000000402331352
996,2.7000000402331352
997,2.400000035762787
998,0.10000000149011612
999,0.10000000149011612
